ردیف,priority,سال,بخش,ماده,بخش (ماده),موضوع,بند,خلاصه,شرح
98,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,8,افزایش فشار داخلی جمجمه,"افزایش فشار داخلی جمجمه به هر علت (تومور، آبسه، خونریزی و غیره ): معاف دائم"
99,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,9,سابقه عمل مغز,سابقه عمل مغز: معاف دائم
100,1,1364,پنجم,36,پنجم (36),بیماریهای مربوط به جراحی مغز و اعصاب,10,کمپرسیونهای نخاعی,تمام کمپرسیونهای نخاعی مانند تومورهای استخوانی با مبداء مهره ای سکل عفونتها وآراکنوئیدیتها خواه به مرحله فلج رسیده یا نرسیده باشد: معاف دائم
101,1,1364,ششم,37,ششم (37),تومورهای خوش خیم و بدخیم,1,تومورهای خوش خیم,تومورهای خوش خیم در صورتیکه حجیم بوده و یا تولید اختلال عملی در اعضای مهم نماید و با عمل جراحی قابل ترمیم نباشد: معاف دائم
102,1,1364,ششم,37,ششم (37),تومورهای خوش خیم و بدخیم,2,تومورهای بدخیم,تومورهای بدخیم از هر نوع و در هر عضو که باشد ولو اینکه مورد عمل جراحی قرار گرفته باشد: معاف دائم
103,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,1,تغییر شکل های مادرزادی جدار قفسه صدری,"تغییر شکل های مادرزادی جدار قفسه صدری مانند سینه فرورفته، سینه قیفی شکل، جناغ برجسته و یا فقدان عضلات سینه که موجب اختلال بالینی واضح در عمل تنفس و یا قلب شده باشد: معاف دائم"
104,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,2,نقص های دیافراگم,"تغییر شکل و نقص های مادرزادی حجاب حاجز(نبودن دیافراگم و یا فلج حجاب حاجز): معاف دائم
تبصره - در فتق های دیافراگم (هیاتال) به مبحث بیماری های شکم و دستگاه گوارش مراجعه شود."
105,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,3,نقص های مجاری هوائی,تغییر شکل ها و نقص های مادرزادی مجاری هوائی (فیستولهاو تراکئوبرونکومگالی): معاف دائم
106,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,4,آژنزی ریه,عدم تشکیل قسمتی از ریه (آژنزی ریه) و آپلازی کامل یا جزئی آن که ایجاد اختلال در عمل تنفس شده باشد: معاف دائم
107,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,5,استئیت و استئومیلیت,استئیت و استئومیلیت دنده ها یا ترقوه یا جناغ سینه و یا کتف در هر مورد: معاف دائم
108,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,6,شکستگی دنده ها یا جناغ و کتف و ترقوه,شکستگی دنده ها یا جناغ و کتف و ترقوه که موجب اختلال عمل تنفس و یا تغییر شکل آنان شده است: معاف دائم
109,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,7,سیکاتریس سوختگی وسیع,سیکاتریس سوختگی وسیع و یا سیکاتریس های اعمال جراحی که ایجاد اختلال عملی نماید: معاف دائم
110,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,8,تومورهای بدخیم,تومورهای بدخیم نسوج نرم و یا استخوانی قفسه صدری: معاف دائم
111,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,9,پلورزی,"انواع پلورزی ها اعم از سروفیبرینی، چرکی، هموراژیک و غیره و یا سابقه ابتلا به آنها که با رادیوگرافی به ثبوت برسد: معاف دائم 
تبصره - در مورد سکلهای قدیمی جزئی که ایجاد اختلال تنفس نکرده باشد: خدمات غیررزمی"
112,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,10,پنوموتوراکس خودبخودی,سابقه پنوموتوراکس خودبخودی تکرار شونده که با رادیوگرافی تایید شده باشد: معاف دائم
113,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,11,تومورهای دیافراگم و یا پلور,تومورهای حجاب حاجز و یا جنب بطور کلی (اعم از خوش خیم یا بد خیم): معاف دائم
114,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,12,سل ریوی,سل ریوی پیش رونده معاف دائم و در مورد سل خاموش به مبحث بیماری های عمومی مراجعه شود.
115,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,13,بیماری های قارچی مزمن ریه,بیماری های قارچی مزمن ریه: معاف دائم
116,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,14,"سارکوئیدوز، فیبروزها","سارکوئیدوز، فیبروزها و سایربیماری ها و سندروم های سیستمی: معاف دائم"
117,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,15,پنوموکونیوزها,پنوموکونیوزها: معاف دائم
118,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,16,آمفیزم,آمفیزم پیشرفته ریه: معاف دائم و در مورد آمفیزم های خفیف و لوکالیزه: خدمات غیررزمی
119,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,17,کیستهای مختلف ریه,کیستهای مختلف ریه (هیداتیک درموئید پلوروپریکاردیک و کیستهای هوائی بزرگ و متعدد): معاف دائم
120,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,18,آبسه ریوی و سکلهای وسیع عفونتهای غیرسلی,آبسه ریوی و سکلهای وسیع عفونتهای غیرسلی: معاف دائم
121,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,19,برونشکتازی,"برونشکتازی پیشرفته که علائم بالینی و رادیوگرافی آنرا تایید نموده باشد، معاف دائم و در موارد خفیف و محدود: خدمات غیررزمی"
122,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,20,برنشیتهای مزمن,برنشیتهای مزمن که تولید عوارض بالینی بارز نموده باشد: معاف دائم
123,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,21,آسم برونشیک,"آسم برونشیک در موارد شدید، معاف موقت یکساله و در موارد خفیف که فواصل حملات طولانی باشد: خدمات غیررزمی"
124,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,22,تومور,تومورهای برونش خوش خیم و بدخیم : معاف دائم
125,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,23,اجسام خارجی,"اجسام خارجی ریه، برونش، مدیاستن که موجب واکنشهای التهابی و یا اختلالات عملی شده باشد: معاف دائم"
126,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,24,سابقه اعمال جراحی سینه,"سابقه اعمال جراحی سینه اعم از برداشتن دنده ها و توراکو پلاستی، رزکسیون ریه و دکورتیکاسیون، معاف دائم و در مورد واگوتومی که به علت بیماری معاف کننده انجام نشده باشد و عوارض بعد از عمل ایجاد نکرده باشد: خدمات غیررزمی"
127,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,25,تنگی های وسیع یا متعدد برونش,تنگی های وسیع یا متعدد برونشها که ایجاد اختلالات عملی کرده باشد: معاف دائم
128,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,26,تومورها و آدنوپاتیهای مدیاستن,"تومورها و آدنوپاتیهای مدیاستن، مدیاستینیت های مزمن، علایم فشار به مدیاستن (سندروم کلودبرناردهورنر) در هر مورد: معاف دائم"
129,1,1364,هفتم,38,هفتم (38),بیماری های ریه و قفسه صدری,27,اختلالات مری,"تنگی های وسیع، دیورتیکول، واریس و تومورهای مری به طور کلی: معاف دائم"
